392891,1,PO_RejectRequisitionAndApproval_013,9/01/2019 12:27:42 PM,0,Failed,9/01/2019 12:21:07 PM,basic.step,Scripts,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,6560,Passed,"",basic.init,
"Launch Browser: InternetExplorer 11.615.17763.0",,6033,Passed,"",basic.step,
"Iteration Total (sec)",,385959,Failed,"",basic.iteration,
"GetNextDatabankRecord: PO_CreateRequisitionAndApproval_001",,3,Passed,"Data Used:[http://riyoramgbm02.maaden.com:8050/, FAREEDM, welcome123, Service, MISC.MISC, Application Engineer's Service Charge, Daily, 1, 660, 31-AUG-2021 00:00:00, PAW:MWSPC Phosphoric Acid Plant Warehouse, Turaif PAP, Nalco Saudi Company Limited, DAMMAM_SAR, Blanket Purchase Agreement, 741700202, 13, 01.05.530.17.5285.3100.00000, ]",basic.resource,
"Navigate http://riyoramgbm02.maaden.com:8050/",,80,Passed,"Data Used:http://riyoramgbm02.maaden.com:8050/",ft.action,
"WaitForPage http://riyoramgbm02.maaden.com:8050/",,1229,Passed,"",web.pageComplete,
"Maximize window(""@index='0'"")",,7,Passed,"",ft.action,
"Click textBox(""@id='unamebean'"")",,6242,Passed,"",ft.action,
"ClearText textBox(""@id='unamebean'"")",,68,Passed,"",ft.action,
"SetText textBox(""@id='unamebean'"") FAREEDM",,76,Passed,"Data Used:FAREEDM",ft.action,
"Click textBox(""@id='pwdbean'"")",,109,Passed,"",ft.action,
"SetPassword textBox(""@id='pwdbean'"") ******",,48,Passed,"Data Used:welcome123",ft.action,
"Click button(""@id='SubmitButton'"")",,106,Passed,"",ft.action,
"WaitForPage http://riyoramgbm02.maaden.com:8050/OA_HTML/OA.jsp?OAFunc=OAHOMEPAGE",,7103,Passed,"",web.pageComplete,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/cabo/images/swan/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Click link(""@text='MWSPC PURCHASING PREPARER'"")",,105,Passed,"",ft.action,
"WaitForPage http://riyoramgbm02.maaden.com:8050/OA_HTML/OA.jsp?OAFunc=OAHOMEPAGE#",,658,Passed,"",web.pageComplete,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/cabo/images/swan/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Click link(""@text='Requisition'"")",,100,Passed,"",ft.action,
"WaitForPage http://riyoramgbm02.maaden.com:8050/OA_HTML/OA.jsp?OAFunc=OAHOMEPAGE#",,673,Passed,"",web.pageComplete,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/cabo/images/swan/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Click link(""@text='Requisitions'"")",,122,Passed,"",ft.action,
"Find Object",,360998,Failed,"Find Object timeout. Detail information:{{obj.PO_CreateRequisitionAndApproval_001.web_window_1}}.",ft.action,
"Finish Total (sec)",,111,Passed,"",basic.finish,
"closeBrowser",,10,Passed,"",ft.action,
