78476,1,PO_RequisitionCreation_iProcurementAndApproval_012,8/25/2019 22:34:30 PM,0,Failed,8/25/2019 22:33:09 PM,basic.step,Scripts,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,15754,Passed,"",basic.init,
"Launch Browser: InternetExplorer 11.615.17763.0",,15005,Passed,"",basic.step,
"Iteration Total (sec)",,62306,Failed,"",basic.iteration,
"Navigate http://riyoramgbm02.maaden.com:8050/",230,103,Passed,"",ft.action,
"Think: 0.336 (sec).",,382,Passed,"",basic.comment,
"Navigate http://riyoramgbm02.maaden.com:8050/",231,18,Passed,"",ft.action,
"WaitForPage http://riyoramgbm02.maaden.com:8050/",232,1059,Passed,"",web.pageComplete,
"Think: 10 (sec).",,10045,Passed,"",basic.comment,
"Click textBox(""@id='unamebean'"")",,360,Passed,"",ft.action,
"SetText textBox(""@id='unamebean'"") PEETHAMBARANS",,57,Passed,"",ft.action,
"PressTab textBox(""@id='unamebean'"")",,153,Passed,"",ft.action,
"SetPassword textBox(""@id='pwdbean'"") ******",,571,Passed,"",ft.action,
"PressEnter textBox(""@id='pwdbean'"")",,59,Passed,"",ft.action,
"WaitForPage http://riyoramgbm02.maaden.com:8050/OA_HTML/OA.jsp?OAFunc=OAHOMEPAGE",,6190,Passed,"",web.pageComplete,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/cabo/images/swan/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Think: 4.601 (sec).",,4631,Passed,"",basic.comment,
"Click link(""@text='MWSPC IPROCUREMENT'"")",243,159,Passed,"",ft.action,
"WaitForPage http://riyoramgbm02.maaden.com:8050/OA_HTML/OA.jsp?OAFunc=OAHOMEPAGE#",244,850,Passed,"",web.pageComplete,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/cabo/images/swan/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Think: 1.519 (sec).",,1549,Passed,"",basic.comment,
"Click link(""@text='iProcurement Home Page'"")",247,140,Passed,"",ft.action,
"WaitForPage http://riyoramgbm02.maaden.com:8050/OA_HTML/RF.jsp?function_id=7330&resp_id=55408&resp_appl_id=178&security_group_id=0&lang_code=US&params=muyUJSTiHoHmcnUx4IndYgvqrqa19x45mKf3QHp0UEA&oas=LgR0-6EQqUG5iLRXKv4LQQ..",248,6029,Passed,"",web.pageComplete,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/cabo/images/swan/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Think: 9.477 (sec).",,9509,Passed,"",basic.comment,
"Click element(""@text='In Process'"")",,219,Passed,"",ft.action,
"Think: 5.011 (sec).",,5037,Passed,"",basic.comment,
"Click image(""@alt='Copy Requisitions'"")",251,175,Passed,"",ft.action,
"WaitForPage http://riyoramgbm02.maaden.com:8050/OA_HTML/OA.jsp?page=/oracle/apps/icx/icatalog/shopping/webui/ShoppingHomePG&_ti=454154012&retainAM=N&addBreadCrumb=N&OASF=ICX_CAT_SHOP_HOME&OAHP=ICX_POR_HOMEPAGE_MENU&oapc=7&oas=8oBt4v-H7nlMuSJyKxzlRw..",252,7402,Passed,"",web.pageComplete,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/cabo/images/swan/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Think: 4.372 (sec).",,4398,Passed,"",basic.comment,
"Failed to playback",,19,Failed,"Failed to playback: No browser launched.",ft.action,
"Finish Total (sec)",,76,Passed,"",basic.finish,
