83358,1,HCM_ManageJobs_EditDivision_CorrectOption_0042,7/19/2020 18:41:47 PM,0,Passed,7/19/2020 18:40:24 PM,basic.step,Global HR(Admn),,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,2990,Passed,"",basic.init,
"Launch Browser: InternetExplorer 11.900.18362.0",,2388,Passed,"",basic.step,
"Iteration Total (sec)",,79875,Passed,"",basic.iteration,
"Info",,2,Passed,"Comments: Effective_Start_Date is : 1/1/20",basic.comment,
"Info",,0,Passed,"Comments: Division_Name is : Sujit_Division_3",basic.comment,
"Info",,0,Passed,"Comments: Division_ReportName is : Sujit_Report_1",basic.comment,
"Info",,0,Passed,"Comments: Email is : ss@gmail.com",basic.comment,
"Call Function: HCM_LogIn_LogOut.run",,22499,Passed,"",basic.stepGroup,
"GetNextDatabankRecord: HCM_Search_ManagePosition_ByName_EmployeeCode_003",,2,Passed,"Data Used:[https://ejop-test.login.em2.oraclecloud.com/, Sujit.swain, Welcome123, 101447]",basic.resource,
"Navigate https://ejop-test.login.em2.oraclecloud.com/",,107,Passed,"Data Used:https://ejop-test.login.em2.oraclecloud.com/",ft.action,
"WaitForPage https://ejop-test.login.em2.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DpK4g79WeeUOtd1UiEXG7Avm2oOdjOzXapV6RpgJWxNpp381dZZ531L14U0PWElcGwikYE1u7fzyVgPQz3AxAOPGxleFDHKey7brM%2F7ASXoGsO7oa6g8Vo0zi0GJpC%2BFNdACtyyLnBwKdXLN7%2BLBqqfwLuZz...",,7796,Passed,"",web.pageComplete,
"Maximize window(""@index='0'"")",,6,Passed,"",ft.action,
"SetText textBox(""@id='userid'"") Sujit.swain",,163,Passed,"Data Used:Sujit.swain",ft.action,
"SetPassword textBox(""@id='password'"") ******",,29,Passed,"Data Used:Welcome123",ft.action,
"Click button(""@text='Sign In '"")",,110,Passed,"",ft.action,
"WaitForPage https://ejop-test.fa.em2.oraclecloud.com/fscmUI/faces/AtkHomePageWelcome?_adf.no-new-window-redirect=true&_adf.ctrl-state=131jbfoj1g_5&_afrLoop=3870551930774057&_afrWindowMode=2&_afrWindowId=null&_afrFS=16&_afrMT=screen&_afrMFW=1920&_afrMF...",,9833,Passed,"",web.pageComplete,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Click link(""@id='pt1:commandLink1'"")",,88,Passed,"",ft.action,
"WaitForPage https://ejop-test.fa.em2.oraclecloud.com/fscmUI/faces/FuseWelcome?_afrLoop=3870561036302385&_adf.ctrl-state=131jbfoj1g_77",,3533,Passed,"",web.pageComplete,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Click link(""@id='groupNode_workforce_management_2'"")",,793,Passed,"",ft.action,
"Think: 0.825 (sec).",,874,Passed,"",basic.comment,
"Click link(""@id='itemNode_workforce_management_workforce_structures_4'"")",,130,Passed,"",ft.action,
"WaitForPage https://ejop-test.fa.em2.oraclecloud.com/fscmUI/faces/FuseWelcome?_afrLoop=3870561036302385&_adf.ctrl-state=131jbfoj1g_77#",,709,Passed,"",web.pageComplete,
