132559,1,HCM_Edit_Update_EmergencyContact_0146,12/28/2020 22:26:05 PM,0,Failed,12/28/2020 22:23:52 PM,basic.step,HCM Employee Relations,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,4558,Passed,"",basic.init,
"Launch Browser: Chrome 87.0.4280.88",,4072,Passed,"",basic.step,
"Iteration Total (sec)",,127529,Failed,"",basic.iteration,
"Navigate https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com",,144,Passed,"",ft.action,
"Maximize window(""@index='0'"")",,31,Passed,"",ft.action,
"WaitForPage https://login-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DHyuyns5Hr%2Fwr7e0Z7Kr4L9ALGdV2GFWXUt8mH9Rqe6Luw9BjnMOYjnUybQ0YesPNbj3x1fLWi64Yz%2BQgJeZ7HqyzcdOGTxdBYfrYB2xXbHUwYSPY6si0rG9qq8q4rOl2ChLCRt5EkncwEV...",,6631,Passed,"",web.pageComplete,
"SetText textBox(""@id='userid'"") khanmma@dev1.maaden.com.sa",,81,Passed,"",ft.action,
"PressTab textBox(""@id='userid'"")",,343,Passed,"",ft.action,
"SetPassword textBox(""@id='password'"") ******",,99,Passed,"",ft.action,
"Click button(""@id='btnActive'"")",,219,Passed,"",ft.action,
"WaitForPage https://login-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DHyuyns5Hr%2Fwr7e0Z7Kr4L9ALGdV2GFWXUt8mH9Rqe6Luw9BjnMOYjnUybQ0YesPNbj3x1fLWi64Yz%2BQgJeZ7HqyzcdOGTxdBYfrYB2xXbHUwYSPY6si0rG9qq8q4rOl2ChLCRt5EkncwEV...",,1491,Passed,"",web.pageComplete,
"focus",,2383,Passed,"",ft.action,
"Think: 1.147 (sec).",,1179,Passed,"",basic.comment,
"DoubleClick link(""@id='pt1:commandLink1'"")",,82,Passed,"",ft.action,
"WaitForPage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/faces/AtkHomePageWelcome?_adf.no-new-window-redirect=true&_adf.ctrl-state=vdw79tjhc_5&_afrLoop=19558718880868991&_afrWindowMode=2&_afrWindowId=null&_afrFS=16&_afrMT=screen&_afr...",,1641,Passed,"",web.pageComplete,
"Frame (URL=https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Think: 3.147 (sec).",,3195,Passed,"",basic.comment,
"focus",,207,Passed,"",ft.action,
"Think: 0.147 (sec).",,188,Passed,"",basic.comment,
"Click link(""@id='groupNode_workforce_management'"")",,207,Passed,"",ft.action,
"Think: 3.147 (sec).",,3173,Passed,"",basic.comment,
"Click link(""@text='Person Management'"")",,227,Passed,"",ft.action,
"WaitForPage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/faces/FuseWelcome?_afrLoop=19558722816460283&_adf.ctrl-state=vdw79tjhc_81",,3343,Passed,"",web.pageComplete,
"Think: 2.444 (sec).",,2481,Passed,"",basic.comment,
"Click textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAt1:0:pt1:Perso1:0:SP3:q1:value00::content'"")",,209,Passed,"",ft.action,
"SetText textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAt1:0:pt1:Perso1:0:SP3:q1:value00::content'"") Rina Chand",,82,Passed,"",ft.action,
"Click textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAt1:0:pt1:Perso1:0:SP3:q1:value20::content'"")",,244,Passed,"",ft.action,
"SetText textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAt1:0:pt1:Perso1:0:SP3:q1:value20::content'"") 10340000000",,107,Passed,"",ft.action,
"Think: 0.546 (sec).",,580,Passed,"",basic.comment,
"Click button(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAt1:0:pt1:Perso1:0:SP3:q1::search'"")",,234,Passed,"",ft.action,
"Think: 4.214 (sec).",,4233,Passed,"",basic.comment,
"focus",,192,Passed,"",ft.action,
"Think: 0.039 (sec).",,69,Passed,"",basic.comment,
"focus",,225,Passed,"",ft.action,
"Think: 0.079 (sec).",,98,Passed,"",basic.comment,
"focus",,215,Passed,"",ft.action,
"Think: 0.076 (sec).",,93,Passed,"",basic.comment,
"focus",,244,Passed,"",ft.action,
"CapturePage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/faces/FndOverview?fnd=%3B%3B%3B%3Bfalse%3B256%3B%3B%3B&fndGlobalItemNodeId=itemNode_workforce_management_person_management&_afrLoop=19558732137307931&_afrWindowMode=0&_afrWindow...",,1154,Passed,"",web.capPage,
