137787,1,HCM_Search_ManagePosition_ByName_EmployeeCode_003,5/20/2020 23:19:40 PM,0,Failed,5/20/2020 23:17:21 PM,basic.step,HCM,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,1163,Passed,"",basic.init,
"Launch Browser: InternetExplorer 11.778.18362.0",,667,Passed,"",basic.step,
"Iteration Total (sec)",,135496,Failed,"",basic.iteration,
"Info",,3,Passed,"Comments: Employee_Name--> Vice President(A), Human Capital",basic.comment,
"GetNextDatabankRecord: HCM_Search_ManagePosition_ByName_EmployeeCode_003",,2,Passed,"Data Used:[https://ejop-test.login.em2.oraclecloud.com/, Sujit.swain, Welcome123, 101447]",basic.resource,
"Navigate https://ejop-test.login.em2.oraclecloud.com/",,83,Passed,"Data Used:https://ejop-test.login.em2.oraclecloud.com/",ft.action,
"WaitForPage https://ejop-test.fa.em2.oraclecloud.com/fscmUI/faces/AtkHomePageWelcome?_afrLoop=6565581812955157&_afrWindowMode=0&_afrWindowId=4kg6fc9j3&_adf.ctrl-state=tohhkuxl7_62&_afrFS=16&_afrMT=screen&_afrMFW=1920&_afrMFH=906&_afrMFDW=1920&_afrMFDH...",,83225,Passed,"",web.pageComplete,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Maximize window(""@index='0'"")",,130,Passed,"",ft.action,
"Failed to playback",,50481,Failed,"",ft.action,
"setText",,49165,Failed,"Failed to playback: No browser launched.",ft.action,
"Finish Total (sec)",,141,Failed,"",basic.finish,
"Failed to playback",,175,Failed,"Failed to playback: No browser launched.",ft.action,
